ogc_fid,name
148,American-oceania
13,Andorra
111,Angola
195,Argentina
89,Armenia
71,Australia
160,Austria
93,Azerbaijan
33,Azores
26,Bahamas
113,Bangladesh
161,Belarus
162,Belgium
28,Belize
112,Benin
119,Bhutan
25,Bolivia
163,Bosnia-herzegovina
153,Botswana
190,Brazil
48,Britain-and-ireland
164,Bulgaria
201,Burkina-faso
154,Burundi
121,Cambodia
70,Cameroon
188,Canada
116,Canary-islands
117,Cape-verde
8,Central-African-Republic
7,Central-african-republic
114,Chad
192,Chile
139,China
197,Colombia
118,Comores
72,Congo-brazzaville
200,Congo-democratic-republic
14,Cook-islands
54,Costa-rica
49,Croatia
145,Cuba
50,Cyprus
166,Czech-republic
20,Denmark
84,Djibouti
198,Ecuador
86,Egypt
57,El-salvador
88,Equatorial-guinea
90,Eritrea
159,Estonia
96,Ethiopia
53,Faroe-islands
17,Fiji
165,Finland
168,France
120,Gabon
91,Gcc-states
55,Georgia
150,Germany
100,Ghana
41,Great-britain
170,Greece
130,Greenland
157,Guatemala
167,Guernsey-jersey
73,Guinea
136,Guinea-bissau
61,Haiti-and-domrep
65,Honduras
58,Hungary
169,Iceland
149,Ile-de-clipperton
92,India
36,Indonesia
140,Iran
141,Iraq
3,Ireland-and-northern-ireland
5,Isle-of-man
94,Israel-and-palestine
82,Italy
18,Ivory-coast
147,Jamaica
95,Japan
142,Jordan
151,Kazakhstan
37,Kenya
38,Kiribati
155,Kosovo
97,Kyrgyzstan
152,Laos
171,Latvia
144,Lebanon
2,Lesotho
122,Liberia
123,Libya
156,Liechtenstein
172,Lithuania
173,Luxembourg
174,Macedonia
124,Madagascar
115,Malawi
9,Malaysia-singapore-brunei
98,Maldives
125,Mali
63,Malta
22,Marshall-islands
128,Mauritania
12,Mauritius
189,Mexico
74,Micronesia
175,Moldova
66,Monaco
10,Mongolia
176,Montenegro
129,Morocco
132,Mozambique
52,Myanmar
131,Namibia
143,Nauru
56,Nepal
177,Netherlands
29,New-caledonia
32,New-zealand
68,Nicaragua
138,Niger
146,Nigeria
75,Niue
59,North-korea
178,Norway
102,Pakistan
77,Palau
23,Panama
81,Papua-new-guinea
194,Paraguay
196,Peru
105,Philippines
30,Pitcairn-islands
180,Poland
40,Polynesie-francaise
181,Portugal
1,Rest of the World
182,Romania
24,Russia
104,Russia-asian-part
34,Rwanda
133,Saint-helena-ascension-and-tristan-da-cunha
83,Samoa
134,Sao-tome-and-principe
4,Senegal-and-gambia
184,Serbia
16,Seychelles
39,Sierra-leone
185,Slovakia
186,Slovenia
101,Solomon-islands
42,Somalia
27,South-Sudan
6,South-africa-and-lesotho
107,South-korea
51,South-sudan
78,Spain
45,Sri-lanka
11,Sudan
15,Suriname
137,Swaziland
110,Sweden
79,Switzerland
60,Syria
108,Taiwan
62,Tajikistan
46,Tanzania
109,Thailand
21,Togo
31,Tokelau
43,Tonga
19,Tunisia
127,Turkey
64,Turkmenistan
47,Tuvalu
35,Uganda
80,Ukraine
44,Uruguay
193,Us
191,Us-midwest
179,Us-northeast
183,Us-pacific
85,Us-south
187,Us-west
67,Uzbekistan
103,Vanuatu
199,Venezuela
69,Vietnam
106,Wallis-et-futuna
76,Yemen
126,Zambia
135,Zimbabwe
